Ticker,Summary,Label,Confidence,URL
GME,Shares of the self-described tech company are down 12% so far in September. One could be punishing meme trader crowd for lack of clarity,NEGATIVE,0.9997784495353699,https://finance.yahoo.com/news/game-stop-stock-is-enduring-an-awful-september-180120497.html
GME,"‘Retail factor is here to stay,' says Siebert Williams Shank. Off-exchange trading made up 47.2% of equity volume in January 2021",POSITIVE,0.9101589918136597,https://finance.yahoo.com/news/significant-role-of-retail-investing-here-to-stay-suzanne-shank-164155648.html
GME,Hedge funds have lost billions of dollars in the short squeeze battle. Retail investors are slowly transforming market dynamics,POSITIVE,0.9760345220565796,https://finance.yahoo.com/news/15-best-short-squeeze-stocks-140610450.html
GME,RF Capital Management published its second-quarter 2021 investor letter. GME returned 977.81% since the beginning of the year,NEGATIVE,0.720937967300415,https://finance.yahoo.com/news/why-rf-capital-management-continues-164430403.html
GME,"Plans to hire nearly 500 employees at new customer service center in Pembroke Pines, FL. Company has been undertaking radical digital transformation efforts",POSITIVE,0.9902737736701965,https://finance.yahoo.com/news/gamestop-gme-hire-500-staff-135001043.html
GME,Shares dip more than 10% in after-hours trading despite strong report. Management says they’re investing in long-term growth initiatives,NEGATIVE,0.9926254153251648,https://finance.yahoo.com/news/gamestop-nyse-gme-earnings-120000520.html
GME,Market maker Citadel Securities made a series of posts on Twitter. Claim that CEO Ken Griffin had never spoken to Vlad Tenev,NEGATIVE,0.9960700273513794,https://ca.finance.yahoo.com/news/amc-gme-stocks-citadel-drama-123112651.html
GME,Second quarter net sales of $1.183 billion compared to $942 million in the prior year. Cash and restricted cash of $1.78 billion ended the period,NEGATIVE,0.9525899291038513,https://finance.yahoo.com/news/gamestop-reports-financial-results-q2-200500919.html
GME,"Best Buy had an excellent July quarter, blowing analysts' estimates out of the water.",POSITIVE,0.9984837174415588,https://finance.yahoo.com/news/disheartening-gamestop-gme-earnings-r-212009089.html
GME,Jim Simons’ Renaissance Technologies has made record profits over the last 28 years. 10 best stocks to buy for 2019,POSITIVE,0.9994992017745972,https://finance.yahoo.com/news/jim-simons-quant-hedge-fund-171007244.html
